route,count
"['main', 'archive', 'rabota', 'archive', 'news']",6
"['main', 'tariffs', 'bonus', 'tariffs']",6
"['main', 'news', 'archive', 'tariffs']",6
"['main', 'online', 'tariffs', 'online']",6
"['main', 'online', 'internet', 'bonus']",6
"['main', 'tariffs', 'rabota', 'online']",6
"['main', 'rabota', 'news', 'rabota', 'archive']",6
"['main', 'news', 'main', 'online']",6
"['main', 'tariffs', 'bonus', 'vklad']",6
"['main', 'tariffs', 'internet', 'online']",5
"['main', 'online', 'digital']",5
"['main', 'bonus', 'internet', 'rabota', 'bonus']",5
"['main', 'tariffs', 'bonus', 'main']",5
"['main', 'tariffs', 'news', 'internet']",5
"['main', 'news', 'main', 'internet']",5
"['main', 'rabota', 'tariffs', 'internet']",5
"['main', 'news', 'internet', 'vklad']",5
"['main', 'internet', 'vklad', 'main']",5
"['main', 'rabota', 'vklad', 'bonus']",5
"['main', 'rabota', 'vklad', 'internet']",5
"['main', 'online', 'archive', 'news', 'internet']",5
"['main', 'bonus', 'rabota', 'vklad']",5
"['main', 'bonus', 'rabota', 'tariffs', 'rabota']",5
"['main', 'rabota', 'tariffs', 'online', 'archive']",5
"['main', 'internet', 'rabota', 'internet', 'rabota']",5
"['main', 'news', 'vklad', 'archive', 'rabota']",5
"['main', 'news', 'archive', 'rabota', 'bonus']",5
"['main', 'internet', 'archive', 'digital']",5
"['main', 'news', 'archive', 'bonus', 'internet']",5
"['main', 'tariffs', 'main', 'news']",5
"['main', 'news', 'vklad', 'archive']",5
"['main', 'bonus', 'rabota', 'archive', 'rabota']",5
"['main', 'archive', 'main', 'archive', 'main']",5
"['main', 'internet', 'vklad', 'online']",5
"['main', 'rabota', 'archive', 'internet', 'rabota']",5
"['main', 'archive', 'main', 'archive']",5
"['main', 'rabota', 'vklad', 'bonus', 'rabota']",5
"['main', 'archive', 'bonus', 'rabota', 'bonus']",5
"['main', 'rabota', 'vklad', 'online']",5
"['main', 'bonus', 'news', 'bonus']",5
"['main', 'bonus', 'vklad', 'main']",5
"['main', 'internet', 'news', 'vklad']",5
"['main', 'digital', 'tariffs']",5
"['main', 'bonus', 'rabota', 'online']",5
"['main', 'online', 'vklad', 'archive']",5
"['main', 'vklad', 'bonus', 'tariffs']",5
"['main', 'bonus', 'vklad', 'news']",5
"['main', 'news', 'main', 'news']",5
"['main', 'rabota', 'news', 'tariffs', 'rabota']",5
"['main', 'internet', 'vklad', 'internet']",5
"['main', 'vklad', 'rabota', 'bonus']",5
"['main', 'tariffs', 'main', 'bonus']",5
"['main', 'news', 'vklad', 'internet']",5
"['main', 'internet', 'rabota', 'news', 'rabota']",5
"['main', 'internet', 'online', 'vklad']",5
"['main', 'online', 'news', 'tariffs']",5
"['main', 'internet', 'online', 'internet']",5
"['main', 'tariffs', 'rabota', 'tariffs']",5
"['main', 'news', 'vklad', 'tariffs']",5
"['main', 'vklad', 'digital']",5
"['main', 'rabota', 'main', 'archive', 'news']",5
"['main', 'bonus', 'archive', 'rabota', 'internet']",5
"['main', 'digital', 'bonus']",5
"['main', 'rabota', 'archive', 'rabota', 'news']",5
"['main', 'archive', 'tariffs', 'main']",5
"['main', 'tariffs', 'vklad', 'rabota']",5
"['main', 'vklad', 'internet', 'online']",5
"['main', 'vklad', 'tariffs', 'rabota']",5
"['main', 'rabota', 'vklad', 'news']",5
"['main', 'internet', 'bonus', 'archive', 'rabota']",4
"['main', 'rabota', 'bonus', 'digital']",4
"['main', 'archive', 'online', 'archive', 'internet']",4
"['main', 'vklad', 'internet', 'vklad']",4
"['main', 'archive', 'bonus', 'internet']",4
"['main', 'tariffs', 'archive', 'rabota', 'internet']",4
"['main', 'internet', 'news', 'tariffs', 'internet']",4
"['main', 'news', 'tariffs', 'news']",4
"['main', 'tariffs', 'bonus', 'archive', 'tariffs']",4
"['main', 'rabota', 'archive', 'online', 'archive']",4
"['main', 'archive', 'news', 'internet', 'bonus']",4
"['main', 'rabota', 'archive', 'rabota', 'internet']",4
"['main', 'tariffs', 'online', 'main']",4
"['main', 'archive', 'news', 'tariffs', 'rabota']",4
"['main', 'rabota', 'bonus', 'internet', 'archive']",4
"['main', 'internet', 'news', 'internet', 'archive']",4
"['main', 'online', 'main', 'vklad']",4
"['main', 'rabota', 'bonus', 'news', 'online']",4
"['main', 'archive', 'news', 'archive', 'rabota']",4
"['main', 'archive', 'online', 'main', 'online']",4
"['main', 'archive', 'online', 'rabota', 'archive']",4
"['main', 'tariffs', 'rabota', 'main']",4
"['main', 'vklad', 'rabota', 'main']",4
"['main', 'news', 'digital', 'rabota']",4
"['main', 'archive', 'rabota', 'online', 'archive']",4
"['main', 'online', 'bonus', 'main']",4
"['main', 'rabota', 'bonus', 'rabota', 'news']",4
"['main', 'tariffs', 'rabota', 'archive', 'tariffs']",4
"['main', 'tariffs', 'online', 'internet']",4
"['main', 'vklad', 'main', 'vklad']",4
"['main', 'bonus', 'main', 'vklad']",4
"['main', 'news', 'internet', 'archive', 'rabota']",4
"['main', 'rabota', 'vklad', 'main']",4
"['main', 'vklad', 'news', 'main']",4
"['main', 'online', 'internet', 'rabota']",4
"['main', 'bonus', 'rabota', 'internet', 'main']",4
"['main', 'online', 'rabota', 'internet']",4
"['main', 'rabota', 'archive', 'internet', 'bonus']",4
"['main', 'tariffs', 'internet', 'bonus', 'rabota']",4
"['main', 'tariffs', 'vklad', 'internet']",4
"['main', 'tariffs', 'online', 'vklad']",4
"['main', 'internet', 'main', 'rabota', 'internet']",4
"['main', 'archive', 'internet', 'rabota', 'bonus']",4
"['main', 'archive', 'internet', 'bonus', 'tariffs']",4
"['main', 'bonus', 'internet', 'archive', 'tariffs']",4
"['main', 'bonus', 'internet', 'rabota', 'online']",4
"['main', 'vklad', 'main', 'bonus']",4
"['main', 'bonus', 'internet', 'news', 'bonus']",4
"['main', 'online', 'rabota', 'news', 'bonus']",4
"['main', 'online', 'rabota', 'archive']",4
"['main', 'archive', 'news', 'archive', 'bonus']",4
"['main', 'internet', 'bonus', 'archive', 'news']",4
"['main', 'bonus', 'tariffs', 'online']",4
"['main', 'tariffs', 'main', 'vklad']",4
"['main', 'internet', 'main', 'news']",4
"['main', 'rabota', 'archive', 'internet', 'vklad']",4
"['main', 'bonus', 'rabota', 'archive', 'bonus']",4
"['main', 'news', 'archive', 'internet', 'news']",4
"['main', 'online', 'news', 'main']",4
"['main', 'news', 'vklad', 'rabota']",4
"['main', 'bonus', 'internet', 'main']",4
"['main', 'vklad', 'archive', 'news']",4
"['main', 'bonus', 'online', 'vklad']",4
"['main', 'archive', 'online', 'internet']",4
"['main', 'bonus', 'tariffs', 'news']",4
"['main', 'rabota', 'digital', 'archive']",4
"['main', 'vklad', 'internet', 'online', 'rabota']",4
"['main', 'tariffs', 'rabota', 'archive', 'bonus']",4
"['main', 'rabota', 'main', 'archive', 'bonus']",4
"['main', 'digital', 'vklad']",4
"['main', 'internet', 'tariffs', 'main', 'bonus']",4
"['main', 'rabota', 'main', 'tariffs']",4
"['main', 'archive', 'internet', 'bonus', 'online']",4
"['main', 'archive', 'bonus', 'archive', 'rabota']",4
"['main', 'vklad', 'news', 'tariffs']",4
"['main', 'news', 'internet', 'main']",4
"['main', 'archive', 'rabota', 'tariffs', 'rabota']",4
"['main', 'vklad', 'main', 'online']",4
"['main', 'vklad', 'online', 'internet']",4
